name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse
4961,110.0,,,1.04851,PQ,49605-2,0,SHANKILL,SHANKILL,1.0,7.0,7.0,IE,-5.474
4971,110.0,,,1.03219,PQ,49771-1,0,SHANONAGH,SHANONAGH,1.0,3.0,3.0,IE,-2.6689
4981,110.0,,,1.05175,PQ,49871-1,0,SLIGO,SLIGO,1.0,2.0,2.0,IE,-1.1166
4991,110.0,,,1.04086,PQ,49971-1,0,SORNE HILL,SORNE HILL,1.0,1.0,1.0,IE,-12.7735
5001,110.0,,,1.05354,PQ,50024-1,0,SOMERSET,SOMERSET,1.0,3.0,3.0,IE,8.7258
5022,220.0,,,1.05008,PQ,,0,SHELLYBANKS,SHELLYBANKS,1.0,11.0,11.0,IE,-1.0242
5031,110.0,,,1.03438,PQ,,0,STEPHENSTOWN,STEPHENSTOWN,1.0,11.0,11.0,IE,-6.3146
5041,110.0,,,1.05282,PQ,,0,SRANANAGH,SRANANAGH,1.0,2.0,2.0,IE,-1.3522
5042,220.0,,,1.05412,PQ,,0,SRANANAGH,SRANANAGH,1.0,2.0,2.0,IE,0.2207
5051,110.0,,,1.05052,PQ,50574-4,0,SEAL ROCK,SEAL ROCK,1.0,5.0,5.0,IE,11.6799
5061,110.0,,,1.03292,PQ,,0,STRATFORD,STRATFORD,1.0,9.0,9.0,IE,0.8393
5071,110.0,,,1.05052,PQ,50573-3,0,SEAL ROCK,SEAL ROCK,1.0,5.0,5.0,IE,11.6799
5081,110.0,,,1.03599,PQ,50871-1,0,STONESTOWN,STONESTOWN,1.0,3.0,3.0,IE,8.417
5091,110.0,,,1.04925,PQ,,0,SINGLAND,SINGLAND,1.0,4.0,4.0,IE,8.1016
5111,110.0,,,1.03193,PQ,,0,SNUGBOROUGH,SNUGBOROUGH,1.0,11.0,11.0,IE,-5.1438
5122,220.0,,,1.05935,PQ,,0,SHELLYBANKS,SHELLYBANKS,1.0,11.0,11.0,IE,-1.9586
5131,110.0,,,1.0515,PQ,,0,TANEY,TANEY,1.0,11.0,11.0,IE,-4.127
5140,220.0,,,1.05,PQ,51475-1,0,OLDPIER,OLDPIER,1.0,5.0,5.0,IE,11.8223
5141,110.0,,,1.05,PQ,,0,TARBERT,TARBERT,1.0,5.0,5.0,IE,11.8223
5142,220.0,,,1.05,PQ,51478-1,0,TARBERT,TARBERT,1.0,5.0,5.0,IE,11.8223
5172,220.0,,,1.075,PQ,51771-CT,0,TYNAGH,TYNAGH,1.0,3.0,3.0,IE,9.4453
5181,110.0,,,1.04647,PQ,51871-1,0,TRABEG,TRABEG,1.0,10.0,10.0,IE,11.4322
5191,110.0,,,1.04075,PQ,68402-1,0,TIEVEBRACK,TIEVEBRACK,1.0,1.0,1.0,IE,-9.5395
5202,220.0,,,1.05328,Slack,52071-1,0,TURLOUGH HIL,TURLOUGH HIL,3.0,11.0,11.0,IE,-0.0906
